{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522084757.406089}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085014.873909}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085021.501411}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085027.74214}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085036.510338}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085045.277235}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085051.903309}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085058.143536}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085064.381348}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085070.620728}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085076.863814}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085090.683689}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085099.836591}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085109.036943}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085115.709143}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085119.262232}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085125.913468}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085132.542036}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085139.181993}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085145.823288}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085154.987157}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085161.659474}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085173.352926}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085182.50977}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085188.748787}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085192.30143}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085201.47064}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085210.640697}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085217.310625}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085226.5193}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085230.623626}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085237.26226}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085243.903471}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085250.539835}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085257.182637}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085263.821547}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085270.462736}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085282.163057}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085291.91401}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085298.029948}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085304.703542}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085311.343896}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085317.982145}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085324.621942}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085331.261283}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085337.9022}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085352.12675}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085356.863737}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085363.503419}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085369.74121}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085375.982097}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085389.801344}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085393.340146}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085399.980683}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085411.677105}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085417.903246}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085426.666478}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085438.394026}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085445.629232}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085457.316222}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085460.862054}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085467.501376}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085474.139836}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085483.31298}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085489.95035}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085499.152733}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085503.263497}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085509.903933}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085516.542546}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 35.0, 'experiment': 1.0, 'time': 1522085523.181501}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 30.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085529.818761}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085536.461588}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 29.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085548.157414}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085552.862047}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085564.553926}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085571.179312}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085579.950475}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085586.190116}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085592.269902}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085596.381196}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085603.022411}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085609.661263}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085616.301266}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085625.470839}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085634.63929}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085638.781432}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085645.42251}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085652.063173}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085658.702972}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085665.34346}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085674.510887}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085681.183526}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085687.822726}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085694.461371}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085711.210571}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 28.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085717.902746}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085724.142325}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 36.0, 'experiment': 1.0, 'time': 1522085730.382674}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085736.622657}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085742.861301}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 27.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085749.102882}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085760.396889}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 37.0, 'experiment': 1.0, 'time': 1522085767.101683}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522085773.742389}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 26.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522085782.910296}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522085792.109146}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 25.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522085798.782571}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522085805.421409}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 38.0, 'experiment': 1.0, 'time': 1522085812.063343}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085818.702174}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085825.341228}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 24.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085831.982086}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 23.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085838.621793}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 23.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085845.261547}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 23.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085851.902264}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 22.0, 'temperature': 39.0, 'experiment': 1.0, 'time': 1522085858.541377}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 22.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085865.191508}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085876.877254}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085881.02357}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085887.662243}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085894.303245}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085900.941293}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085912.641715}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085917.341946}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085923.983188}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085930.22196}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085936.462509}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085942.704098}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085948.942403}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085955.182002}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085961.423405}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085967.661221}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 40.0, 'experiment': 1.0, 'time': 1522085974.299911}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 21.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522085983.069895}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522085989.741335}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522085996.380077}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086005.554512}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086012.190476}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086021.390376}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086028.062479}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086034.703163}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086041.342334}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086047.982533}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086054.621346}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086066.321167}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086073.022164}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086082.189585}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 19.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086091.392461}
{'device': 'gnfuv-temp-exp1-55d487b85b-5g2xh', 'humidity': 20.0, 'temperature': 41.0, 'experiment': 1.0, 'time': 1522086095.503259}
